N° Avion,110,,111,,114,,115,,116,,121,,122,,128,,165,,174,
Hélice (5ans),04/05/27,,26/05/24,,,,13/02/28,,,,08/05/28,,16/09/24,,,,29/09/27,,,
Reg. hélice (5ans),21/05/24,,22/01/29,,14/12/28,,30/06/24,,22/11/25,,31/05/27,,05/06/28,,,,26/02/29,,03/08/28,
Accu. vol dos (5ans),23/07/28,,26/06/28,,09/09/24,,29/11/27,,27/04/26,,23/05/26,,02/11/25,,,,02/07/24,,23/06/26,
Magnétos D(2000h),9606:05,,9178:50,,11168:00,,8895:15,,8768:50,,9642:00,,10140:00,,9817:35,,5935:10,,6840:35,
Magnétos G(2000h),9606:05,,9178:50,,10730:30,,9268:55,,8768:50,,10071:30,,10140:00,,9817:35,,5935:10,,6840:35,
Fuel pump (2000h),10026:45,,10078:55,,10271:00,,10443:55,,9533:15,,9033:30,,10140:00,,9817:35,,5856:45,,6011:20,
Fuel injecter(1600h),9626:45,,8584:35,,9871:00,,9540:45,,10080:00,,9070:50,,9606:40,,9417:35,,5433:55,,5295:20,
HDF ACTUEL,8791:45,,8159:55,,9371:35,,8292:30,,8474:05,,8245:45,,8927:35,,8949:15,,4862:55,,4903:20,
